x1,x2,y
-4.50183952461055,-2.1971427743603353,-1.0
-3.0720242327543796,-3.6053660632118536,-1.0
-5.375925438230254,-5.376021918655189,-1.0
-5.767665551327202,-2.5352954169002593,-1.0
-3.595539953027165,-3.167709688815818,-1.0
-5.91766202281679,-2.1203605913520227,-1.0
-2.670229436798313,-5.150643557286895,-1.0
-5.2727001311715975,-5.266381960586265,-1.0
-4.783031028161849,-3.9009742734710486,-1.0
-4.272219925431537,-4.835083439207832,-1.0
-3.552588421110482,-5.442024557391832,-1.0
-4.831421405859127,-4.534552626825233,-1.0
-4.175720063131856,-2.8592961544279456,-1.0
-5.2013048713665615,-3.9430622463455536,-1.0
-3.63034172455183,-5.814198349120009,-1.0
-3.5698205923942465,-5.317903505250834,-1.0
-5.739793628058882,-2.204457850986667,-1.0
-2.1374718677017626,-2.7664106075341555,-1.0
-4.781544923306518,-5.6093115439744645,-1.0
-3.2630678939513724,-4.239390025041595,-1.0
-5.511847060620885,-4.019292359554919,-1.0
-5.862445915539126,-2.3627183916848717,-1.0
-4.964880073599932,-3.349910862584072,-1.0
-4.753155695642356,-3.9197279152887567,-1.0
-3.8131588826268814,-5.260582177897891,-1.0
-2.1216614889417658,-2.899468706555542,-1.0
-2.2420042337432435,-2.4206905982894047,-1.0
-3.6084000847556594,-2.3125030599075327,-1.0
-5.646029991792322,-5.216068550323419,-1.0
-5.819090844357848,-4.698678676946942,-1.0
-4.4452908412420715,-4.914603872904417,-1.0
-2.6850499633922826,-4.572986693225642,-1.0
-4.876261961250477,-3.829215667367006,-1.0
-5.436303100100949,-2.7912120769838413,-1.0
-5.701797425280917,-2.052452253597931,-1.0
-2.9110209228133703,-5.20513727386331,-1.0
-5.97791153150559,-2.7381542861806634,-1.0
-3.1725706246095315,-3.0839713278360508,-1.0
-2.914918613256217,-5.703821393063638,-1.0
-4.566137085822909,-5.536523761899481,-1.0
-2.547586296497626,-3.5068074926897683,-1.0
-4.676407900589403,-5.745766598855905,-1.0
-4.756070713137351,-4.699266711893012,-1.0
-3.0815752866477437,-3.4497701145791475,-1.0
-2.451149029694694,-4.111140299352202,-1.0
-5.521623016246793,-3.14702085110802,-1.0
-2.9568598055324102,-3.754891209722015,-1.0
-2.916131280181756,-4.024817614542437,-1.0
-3.9090686824720238,-4.289835926565802,-1.0
-5.89832349302362,-5.568434292026782,-1.0
-5.874283257253063,-3.4543583549448784,-1.0
-4.742576075694693,-3.965717235341189,-1.0
-2.369734104295628,-5.0028310834045,-1.0
-4.358468307857481,-2.9777954458278053,-1.0
-5.08480733803351,-5.6920803606848285,-1.0
-4.8409941883449275,-5.355114850983982,-1.0
-2.2812093906297077,-2.767518481742332,-1.0
